ORDER_SHOP_CD,Surface_COMMERC,Emplacement_PDV,Coord_L2E_II_X,Coord_L2E_II_Y
95PHSEERMO,110,CC,593302,2443396
67700FF5-4,84,CV,969415,2427885
16017FL9-3,163,CV,432042,2078600
84PHSEPERT,161,CC,855336,1858485
06PHSEMENT,107,CV,1016402,1877464
76PHSECANY,99,CC,506009,2491916
97PACAMARO,57,CV,-6602268,-58925
38PHSEISLE,65,CC,825246,2072115
19100FP5-4,,CV,,
79PHSEBRES,97,CV,384302,2208452
30932FB1-1,111,CV,763236,1871131
43012FG8-4,127,CV,721838,2005902
08PHSEMEZI,47,CV,771847,2533176
01MOBIBOUR,57,CC,824049,2139853
42100FD5-2,53,CC,761087,2049105
93110FV7-1,246,CC,610255,2431683
51MOBIVITR,42,CV,765529,2416617
60740FN9-7,131,CC,609399,2470565
05PHSEBRIA,82,CV,939541,1997684
32MOBINOGA,57,CV,408957,1864800
62600FQ9-2,126,CV,544966,2601475
37MOBILOCH,50,CV,498409,2237379
97133BAR-9,57,CV,,
04PHSEDIGN,121,CC,908823,1904877
52MOBIDIZI,82,CV,792602,2407409
30100FX9-0,223,CV,739647,1903933
84PHSEAVIC,67,CV,798455,1886142
33PHSEBORD,72,CC,363330,1985406
13098FE3-3,83,CC,851450,1840985
92500FS7-4,107,CV,588873,2431242
31PHSEPORT,193,CC,524322,1837421
53015FF5-5,129,CC,366198,2347006
12MOBIONET,76,CC,621180,1932424
61300FM7-3,35,CV,474174,2419737
38PHSESALA,88,CV,793461,2040682
75PHSTMASS,49,CC,602145,2424739
92MOBICOUR,48,CC,593733,2432993
49043FK1-2,138,CV,382430,2278782
52MOBILANG,56,CV,824220,2322289
21000FT4-8,145,CC,805137,2265553
33MOBILESP,60,CV,343187,2039339
75001RIV-1,252,CV,600807,2428929
76PHSENEBR,85,CV,535476,2526554
54PHSELUNE,135,CV,906705,2407359
27PHSEBERN,71,CV,472601,2455965
34035FK6-3,159,CV,725415,1846287
75018FR7-3,77,CV,600428,2432763
56000R9D-5,133,CC,214984,2308127
3330024P-5,168,CC,370610,1990900
68PHSETHAN,47,CV,956556,2323309
