ORDER_SHOP_CD,decision,emplacement,volume_total,ca_estime,marge_estimee,score_rentabilite
PDV-MYSHOP,DÉVELOPPER,,15335,3067000.0,3002000.0,47.18
92PAEBOUL1,DÉVELOPPER,,2541,508200.0,443200.0,7.82
75FIBRESMS,DÉVELOPPER,,2507,501400.0,436400.0,7.71
06402FH3-0,DÉVELOPPER,CV,2227,445400.0,380400.0,6.85
131273DR-5,DÉVELOPPER,CC,2821,564200.0,479200.0,6.64
ARVOFFFUN1,DÉVELOPPER,,2151,430200.0,365200.0,6.62
75PAFTUNIS,DÉVELOPPER,,1905,381000.0,316000.0,5.86
26100FE4-5,DÉVELOPPER,CV,1902,380400.0,315400.0,5.85
13098FE3-3,DÉVELOPPER,CC,2133,426600.0,341600.0,5.02
84PHSEAVI1,DÉVELOPPER,CC,2023,404600.0,319600.0,4.76
20294FE9-1,DÉVELOPPER,CV,1530,306000.0,241000.0,4.71
06PHSEANTI,DÉVELOPPER,CC,1823,364600.0,279600.0,4.29
26PHSEVALE,DÉVELOPPER,CC,1784,356800.0,271800.0,4.2
ESELFCARE,DÉVELOPPER,,1300,260000.0,195000.0,4.0
84PHSEPERT,DÉVELOPPER,CC,1672,334400.0,249400.0,3.93
06FIBRECA1,DÉVELOPPER,,1274,254800.0,189800.0,3.92
84PHSECAVA,DÉVELOPPER,CV,1250,250000.0,185000.0,3.85
20137FE8-9,DÉVELOPPER,CV,1249,249800.0,184800.0,3.84
26PHSENYON,DÉVELOPPER,CV,1243,248600.0,183600.0,3.82
84100FR6-5,DÉVELOPPER,CC,1622,324400.0,239400.0,3.82
13200FE3-1,DÉVELOPPER,CC,1586,317200.0,232200.0,3.73
06PHSEMENT,DÉVELOPPER,CV,1146,229200.0,164200.0,3.53
75CTCFRAMB,DÉVELOPPER,,1130,226000.0,161000.0,3.48
83580FP3-4,DÉVELOPPER,CC,1478,295600.0,210600.0,3.48
VADVAL1014,DÉVELOPPER,,1114,222800.0,157800.0,3.43
20290VXJ-3,DÉVELOPPER,CC,1204,240800.0,155800.0,2.83
04PHSEDIGN,DÉVELOPPER,CC,1171,234200.0,149200.0,2.76
VADVAL_CAS,DÉVELOPPER,,854,170800.0,105800.0,2.63
92FIBREIMP,DÉVELOPPER,,784,156800.0,91800.0,2.41
05PHSEBRIA,DÉVELOPPER,CV,701,140200.0,75200.0,2.16
84PHSEAPT1,DÉVELOPPER,CV,685,137000.0,72000.0,2.11
