ORDER_SHOP_CD,volume_total,ca_estime,age_moyen,distance_moyenne,geolife_dominant,emplacement,surface,canal,vol_T,vol_I,vol_M,pct_T,pct_I,pct_M,cout_fonctionnement,marge_estimee,score_rentabilite,rentable,croissance_yoy,vs_mediane,profil_chalandise
01011FG1-6,14,2800.0,58.285714285714285,323.39319983918045,Résidence secondaire,CV,100.0,Agence Distribution,9,2,3,64.3,14.3,21.4,65000.0,-62200.0,0.04,False,0.0,75.0,Régionale (>20km)
01100FG1-7,11,2200.0,55.36363636363637,,Résidence secondaire,CV,207.0,Agence Distribution,6,2,3,54.5,18.2,27.3,65000.0,-62800.0,0.03,False,-42.9,37.5,Inconnu
01210FV3-1,39,7800.0,54.142857142857146,304.9815643496949,Résidence secondaire,CV,142.0,Agence Distribution,20,4,15,51.3,10.3,38.5,65000.0,-57200.0,0.12,False,-37.5,387.5,Régionale (>20km)
01500FG1-5,8,1600.0,51.5,274.71097395472015,Populaire,CV,108.0,Agence Distribution,5,2,1,62.5,25.0,12.5,65000.0,-63400.0,0.02,False,-66.7,0.0,Régionale (>20km)
01APVEBOUR,1,200.0,89.0,,Rural dynamique,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu
01APVEOYON,1,200.0,19.0,,Urbain défavorisé,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu
01GTPROTHO,1,200.0,,,Urbain classe moyenne,,,Réseau Concurrentiel,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu
01PHSETHOI,23,4600.0,38.0,289.8576877607197,Urbain classe moyenne,CC,75.0,Réseau Partenaire,16,0,7,69.6,0.0,30.4,85000.0,-80400.0,0.05,False,-8.3,187.5,Régionale (>20km)
02000FL3-6,7,1400.0,21.0,629.1184163968957,Résidence secondaire,CC,110.0,Agence Distribution,1,2,4,14.3,28.6,57.1,85000.0,-83600.0,0.02,False,150.0,-12.5,Régionale (>20km)
02208FT9-5,4,800.0,36.5,670.4084453337457,Résidence secondaire,CV,154.0,Agence Distribution,2,1,1,50.0,25.0,25.0,65000.0,-64200.0,0.01,False,0.0,-50.0,Régionale (>20km)
02321FL3-5,16,3200.0,47.666666666666664,,Pavillonnaire familial,CV,147.0,Agence Distribution,7,2,7,43.8,12.5,43.8,65000.0,-61800.0,0.05,False,120.0,100.0,Inconnu
02APVESTQU,1,200.0,39.0,,Pavillonnaire familial,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu
02PHSECHAT,1,200.0,79.0,633.0398677338234,Urbain Dynamique,CV,126.0,Réseau Partenaire,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Régionale (>20km)
02PHSECHAU,2,400.0,39.0,,Rural traditionnel,CV,111.0,Réseau Partenaire,1,0,1,50.0,0.0,50.0,65000.0,-64600.0,0.01,False,-100.0,-75.0,Inconnu
02PHSEHIRS,3,600.0,59.0,,Pavillonnaire familial,CV,90.0,,1,0,2,33.3,0.0,66.7,65000.0,-64400.0,0.01,False,,-62.5,Inconnu
03018FQ4-0,11,2200.0,62.63636363636363,427.0275215737621,Populaire,CV,110.0,Agence Distribution,9,2,0,81.8,18.2,0.0,65000.0,-62800.0,0.03,False,-62.5,37.5,Régionale (>20km)
03100FQ4-1,9,1800.0,53.285714285714285,473.3042567565953,Pavillonnaire familial,CV,220.0,Agence Distribution,6,1,2,66.7,11.1,22.2,65000.0,-63200.0,0.03,False,25.0,12.5,Régionale (>20km)
03200FQ4-2,13,2600.0,61.0,352.50762070236397,Résidence secondaire,CC,160.0,Agence Distribution,10,1,2,76.9,7.7,15.4,85000.0,-82400.0,0.03,False,-55.6,62.5,Régionale (>20km)
03PAETOUL1,12,2400.0,50.666666666666664,,PériUrbain en croissance,,,Proactif Home,0,12,0,0.0,100.0,0.0,65000.0,-62600.0,0.04,False,400.0,50.0,Inconnu
04008FQ7-3,17,3400.0,55.42857142857143,,PériUrbain en croissance,CC,121.0,Agence Distribution,0,0,17,0.0,0.0,100.0,85000.0,-81600.0,0.04,False,12.5,112.5,Inconnu
04100FQ7-1,1405,281000.0,54.48265460030166,59.455747078171484,PériUrbain en croissance,CV,105.0,Agence Distribution,767,262,376,54.6,18.6,26.8,65000.0,216000.0,4.32,True,-3.5,17462.5,Régionale (>20km)
04APVEMANO,30,6000.0,53.23076923076923,,PériUrbain en croissance,,,,0,0,30,0.0,0.0,100.0,65000.0,-59000.0,0.09,False,50.0,275.0,Inconnu
04CORIJEPA,1,200.0,59.0,,Résidence secondaire,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu
04DVIFORCA,4,800.0,39.0,,PériUrbain en croissance,,,Direction des ventes indirectes,1,3,0,25.0,75.0,0.0,65000.0,-64200.0,0.01,False,-66.7,-50.0,Inconnu
04GTPRODIG,48,9600.0,48.76190476190476,,Urbain classe moyenne,,,,0,1,47,0.0,2.1,97.9,65000.0,-55400.0,0.15,False,236.4,500.0,Inconnu
04GTPROSIS,16,3200.0,59.0,,Rural traditionnel,,,,0,0,16,0.0,0.0,100.0,65000.0,-61800.0,0.05,False,120.0,100.0,Inconnu
04MOBISIST,3,600.0,75.66666666666667,,Rural traditionnel,CV,42.0,Réseau Partenaire,0,0,3,0.0,0.0,100.0,65000.0,-64400.0,0.01,False,,-62.5,Inconnu
04PHSEDIGN,1171,234200.0,52.15934065934066,100.01851695130821,Urbain classe moyenne,CC,121.0,Réseau Partenaire,488,269,414,41.7,23.0,35.4,85000.0,149200.0,2.76,True,25.2,14537.5,Régionale (>20km)
04PHSESIST,658,131600.0,50.18421052631579,109.53091405446865,Rural traditionnel,CV,42.0,Réseau Partenaire,264,163,231,40.1,24.8,35.1,65000.0,66600.0,2.02,True,30.9,8125.0,Régionale (>20km)
05008FT3-2,1868,373600.0,53.14875072632191,133.25835777457684,Résidence secondaire,CV,92.0,Agence Distribution,1146,255,467,61.3,13.7,25.0,65000.0,308600.0,5.75,True,1.9,23250.0,Régionale (>20km)
05APVEGAP,46,9200.0,50.0,,Résidence secondaire,,,,0,0,46,0.0,0.0,100.0,65000.0,-55800.0,0.14,False,87.5,475.0,Inconnu
05GDTPROBR,18,3600.0,57.0,,Urbain classe moyenne,,,,0,0,18,0.0,0.0,100.0,65000.0,-61400.0,0.06,False,700.0,125.0,Inconnu
05MOBIAGE,1,200.0,,,Urbain familial aisé,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu
05MOBIBRIA,3,600.0,45.666666666666664,,PériUrbain en croissance,CV,82.0,Réseau Partenaire,0,0,3,0.0,0.0,100.0,65000.0,-64400.0,0.01,False,-50.0,-62.5,Inconnu
05MOBIGAP,1,200.0,,,PériUrbain en croissance,,,Réseau Partenaire,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu
05MOBIGAP1,2,400.0,64.0,,PériUrbain en croissance,HORS CV ET CC,97.0,Réseau Partenaire,0,0,2,0.0,0.0,100.0,65000.0,-64600.0,0.01,False,-100.0,-75.0,Inconnu
05PHSEBRIA,701,140200.0,50.137071651090345,177.55533897093153,Résidence secondaire,CV,82.0,Réseau Partenaire,314,172,215,44.8,24.5,30.7,65000.0,75200.0,2.16,True,44.3,8662.5,Régionale (>20km)
06000FD7-3,4,800.0,59.0,1.0394306643032438,Urbain classe moyenne,CC,124.0,Agence Distribution,0,0,4,0.0,0.0,100.0,85000.0,-84200.0,0.01,False,0.0,-50.0,Locale (<10km)
06000FIDSC,28,5600.0,54.357142857142854,,Résidence secondaire,,,Service Client Home,0,26,2,0.0,92.9,7.1,65000.0,-59400.0,0.09,False,80.0,250.0,Inconnu
06000GX6-5,13,2600.0,57.46153846153846,,Urbain familial aisé,,,Agence Distribution,0,0,13,0.0,0.0,100.0,65000.0,-62400.0,0.04,False,16.7,62.5,Inconnu
06000XDY-B,2569,513800.0,52.67873491468997,2.1241369800824565,Urbain classe moyenne,CV,114.0,Agence Distribution,1162,587,820,45.2,22.8,31.9,65000.0,448800.0,7.9,True,3.2,32012.5,Locale (<10km)
06036FD7-0,1993,398600.0,53.22851041110518,3.0782582952402175,Populaire,CC,175.0,Agence Distribution,1045,360,588,52.4,18.1,29.5,85000.0,313600.0,4.69,True,12.2,24812.5,Locale (<10km)
06036FQ2-5,1,200.0,79.0,,Populaire,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu
06130FH3-2,802,160400.0,56.43790849673203,7.019649252886445,Urbain familial aisé,CV,130.0,Agence Distribution,433,137,232,54.0,17.1,28.9,65000.0,95400.0,2.47,True,-96.2,9925.0,Locale (<10km)
06200W4C-1,3726,745200.0,50.763521288837744,9.199134238312269,Urbain classe moyenne,CC,124.0,Agence Distribution,1937,579,1210,52.0,15.5,32.5,85000.0,660200.0,8.77,True,12.2,46475.0,Locale (<10km)
06402FH3-0,2227,445400.0,54.67439659252248,4.654814376083718,Urbain classe moyenne,CV,270.0,Agence Distribution,1063,506,658,47.7,22.7,29.5,65000.0,380400.0,6.85,True,21.4,27737.5,Locale (<10km)
