ORDER_SHOP_CD,Surface_COMMERC,Emplacement_PDV,Coord_L2E_II_X,Coord_L2E_II_Y
95PHSEERMO,110.0,CC,593302.0,2443396.0
67700FF5-4,84.0,CV,969415.0,2427885.0
16017FL9-3,163.0,CV,432042.0,2078600.0
84PHSEPERT,161.0,CC,855336.0,1858485.0
06PHSEMENT,107.0,CV,1016402.0,1877464.0
76PHSECANY,99.0,CC,506009.0,2491916.0
97PACAMARO,57.0,CV,-6602268.0,-58925.0
38PHSEISLE,65.0,CC,825246.0,2072115.0
79PHSEBRES,97.0,CV,384302.0,2208452.0
30932FB1-1,111.0,CV,763236.0,1871131.0
43012FG8-4,127.0,CV,721838.0,2005902.0
08PHSEMEZI,47.0,CV,771847.0,2533176.0
01MOBIBOUR,57.0,CC,824049.0,2139853.0
42100FD5-2,53.0,CC,761087.0,2049105.0
93110FV7-1,246.0,CC,610255.0,2431683.0
51MOBIVITR,42.0,CV,765529.0,2416617.0
60740FN9-7,131.0,CC,609399.0,2470565.0
05PHSEBRIA,82.0,CV,939541.0,1997684.0
32MOBINOGA,57.0,CV,408957.0,1864800.0
62600FQ9-2,126.0,CV,544966.0,2601475.0
37MOBILOCH,50.0,CV,498409.0,2237379.0
04PHSEDIGN,121.0,CC,908823.0,1904877.0
52MOBIDIZI,82.0,CV,792602.0,2407409.0
30100FX9-0,223.0,CV,739647.0,1903933.0
84PHSEAVIC,67.0,CV,798455.0,1886142.0
33PHSEBORD,72.0,CC,363330.0,1985406.0
13098FE3-3,83.0,CC,851450.0,1840985.0
92500FS7-4,107.0,CV,588873.0,2431242.0
31PHSEPORT,193.0,CC,524322.0,1837421.0
53015FF5-5,129.0,CC,366198.0,2347006.0
12MOBIONET,76.0,CC,621180.0,1932424.0
61300FM7-3,35.0,CV,474174.0,2419737.0
38PHSESALA,88.0,CV,793461.0,2040682.0
75PHSTMASS,49.0,CC,602145.0,2424739.0
92MOBICOUR,48.0,CC,593733.0,2432993.0
49043FK1-2,138.0,CV,382430.0,2278782.0
52MOBILANG,56.0,CV,824220.0,2322289.0
21000FT4-8,145.0,CC,805137.0,2265553.0
33MOBILESP,60.0,CV,343187.0,2039339.0
75001RIV-1,252.0,CV,600807.0,2428929.0
76PHSENEBR,85.0,CV,535476.0,2526554.0
54PHSELUNE,135.0,CV,906705.0,2407359.0
27PHSEBERN,71.0,CV,472601.0,2455965.0
34035FK6-3,159.0,CV,725415.0,1846287.0
75018FR7-3,77.0,CV,600428.0,2432763.0
56000R9D-5,133.0,CC,214984.0,2308127.0
3330024P-5,168.0,CC,370610.0,1990900.0
68PHSETHAN,47.0,CV,956556.0,2323309.0
34PHSEBALA,87.0,CC,709822.0,1829868.0
93PHSEBOBI,125.0,CC,608148.0,2434188.0
42MOBISTCH,51.0,CV,769880.0,2055158.0
31MOBICOLO,55.0,CV,518702.0,1846017.0
39PHSEDOLE,95.0,CV,839585.0,2237346.0
09PHSESTGI,52.0,CV,502342.0,1776524.0
44500FN2-1,107.0,CV,242565.0,2264774.0
70014FR5-2,135.0,CV,886936.0,2298233.0
20137FE8-9,90.0,CV,1179965.0,1646918.0
67500FT5-1,184.0,CV,1000338.0,2437883.0
21200FT4-6,109.0,CV,790083.0,2227817.0
75570FK3-0,139.0,CV,604213.0,2426860.0
76620ZXC-4,73.0,CC,438708.0,2505029.0
13PHSEMART,147.0,CC,820123.0,1828338.0
25PHSEECOL,155.0,CC,876590.0,2260048.0
65100FJ7-2,84.0,CV,405642.0,1790994.0
70PHSEGRAY,51.0,CC,844926.0,2277174.0
44PHSTNANT,30.0,CV,305112.0,2253538.0
75PHSEITAL,130.0,CC,601352.0,2425706.0
38505FK0-4,125.0,CV,855043.0,2045904.0
21MOBICHA1,51.0,CC,767280.0,2320919.0
10MOBICHAP,125.0,CC,725150.0,2368910.0
60PHSEBEAU,67.0,CC,583946.0,2490372.0
84000FR6-B,87.0,CC,803215.0,1883384.0
74107FV3-0,178.0,CV,900325.0,2139949.0
66PHSEFONT,41.0,CV,575498.0,1722326.0
59PHSTSYNT,42.0,CC,595825.0,2668092.0
19PHSEUSSE,134.0,CV,597845.0,2060659.0
73103FR2-4,66.0,CV,878522.0,2083028.0
45PHSEPITH,56.0,CV,593919.0,2352561.0
