ORDER_SHOP_CD,MKT_CHANNL_LB
61ACTEMACE,Réseau Concurrentiel
26200FK7-7,Agence Distribution
64PHSEOLOR,Réseau Partenaire
ARVFRECOUV,Service Client Home
14MOBIFALA,Réseau Partenaire
28CARRCHAR,Réseau Concurrentiel
91CARRLES,Réseau Concurrentiel
91011FS8-4,Agence Distribution
94762FW8-7,Agence Distribution
13AUCHMARS,Réseau Concurrentiel
01ACTEAMB1,Indéterminé
#,Indéterminé
38080FD8-4,Agence Distribution
7620090I-Y,Agence Distribution
79DVISODAT,Direction des ventes indirectes
CESTRTUATH,Service Client Home
22MOBISTB1,Réseau Concurrentiel
75PHSEITAL,Réseau Partenaire
30PHSENIME,Réseau Partenaire
62800FA8-9,Agence Distribution
95520XVB-5,Agence Distribution
29000KV6-E,Service Client Home
57600FV2-3,Agence Distribution
59CORIESTA,Réseau Concurrentiel
EQUTPMGATH,Service Client Home
69371FL7-4,Agence Distribution
54MOBITOUL,Réseau Partenaire
EQPRODMAR4,Service Client Home
EQFRONT5F,Service Client Home
59CARRFLER,Réseau Concurrentiel
13098FE3-3,Agence Distribution
57PHSTMETZ,Réseau Partenaire
33AUCHLAC,Réseau Concurrentiel
06PHSEANTI,Réseau Partenaire
75SDRREPUB,Agence Distribution
49DISPTIER,Réseau Concurrentiel
47000FS2-8,Agence Distribution
54PHSELUNE,Réseau Partenaire
29MOBICONC,Réseau Partenaire
39MOBICLAU,Réseau Partenaire
69PHSEDARD,Réseau Partenaire
37501FE2-4,Agence Distribution
PRODLNSTR1,Service Client Home
73103FR2-4,Agence Distribution
63DVICOURN,Direction des ventes indirectes
EAX,Ag PRO/PME
44AUCHSTNA,Réseau Concurrentiel
27CORISMAR,Réseau Concurrentiel
55000FE7-4,Agence Distribution
P_ADCP20CO,Ag PRO/PME
16AUCHCHAT,Réseau Concurrentiel
AGPNCEQU12,Service Client Mobile
77500FB9-1,Agence Distribution
PRODLOIR4,Service Client Home
CEQTPTUAT,Service Client Mobile
19100FP5-4,Agence Distribution
54CORATOU1,Réseau Concurrentiel
78180FU9-0,Agence Distribution
34500FJ8-4,Agence Distribution
17TECHSAUJ,Réseau Concurrentiel
AGPRMEQU30,Service Client Home
PDV_SMF,On Line
AGPRAAEQ36,Service Client Home
82AUCHMONT,Réseau Concurrentiel
ISRDVINEER,Direction des ventes indirectes
69CARRVENI,Réseau Concurrentiel
16CORIRUFA,Réseau Concurrentiel
34AUCHBEZI,Réseau Concurrentiel
44ACTEVRIT,Réseau Concurrentiel
69FNACLYON,Réseau Concurrentiel
64PHSEPAU6,Réseau Partenaire
04DISPMANO,Réseau Concurrentiel
80SCMCORIO,Service Client Mobile
74PHSESALL,Réseau Partenaire
PADCN273CH,Ag PRO/PME
75PHSTFAUB,Réseau Partenaire
62AUCHBOUL,Réseau Concurrentiel
27MOBIBERN,Réseau Partenaire
13001MC2-8,Agence Distribution
84CORIVALR,Réseau Concurrentiel
EQPRODLIM7,Service Client Home
89000FM9-4,Agence Distribution
29MOBILAN1,Réseau Partenaire
92700FX4-1,Agence Distribution
76PHSECANY,Réseau Partenaire
PDV_OTVP,On Line
EQUCSIDF,Ag PRO/PME
CCRAAQ2,Service Client Mobile
62AUCHBETH,Réseau Concurrentiel
11108FA2-3,Agence Distribution
CCNICEQ2,Service Client Home
87MOBISTJU,Réseau Partenaire
78AUCHPLAI,Réseau Concurrentiel
AGPRMDPT04,Indéterminé
57070NG1-5,Agence Distribution
02AUCHSTQU,Réseau Concurrentiel
76CORIVILL,Réseau Concurrentiel
38120FGW-5,Agence Distribution
38240VEZ-5,Agence Distribution
38PHSEMLAN,Réseau Partenaire
88207FE1-4,Agence Distribution
EQOPEN3P,Service Client Mobile
30PHSEBAGN,Réseau Partenaire
SCS-FTMSF,Réseau Concurrentiel
35000V4J-5,Agence Distribution
13PHSEVITR,Réseau Partenaire
76600FK2-8,Agence Distribution
ACTMARECLA,Service Client Home
87CORIMULT,Réseau Concurrentiel
34ACTEMEZE,Réseau Concurrentiel
77PHSEPOCO,Réseau Partenaire
94PHSENOGE,Réseau Partenaire
31DVITOUL,Réseau Concurrentiel
01BRIGALPH,Réseau Concurrentiel
78150FF6-3,Agence Distribution
03DVIVICHY,Direction des ventes indirectes
95130RJ8-A,Service Client Home
75DVIPA16,Direction des ventes indirectes
92MOBIPOPC,Réseau Partenaire
56CORILOCM,Réseau Concurrentiel
BO_ADCR_TP,Service Client Home
AGPRMEQU15,Service Client Home
33CARRMERI,Réseau Concurrentiel
75001SNW-2,Ag PRO/PME
75OBSAEIDP,Ag PRO/PME
94100FT1-4,Agence Distribution
066003J6-5,Agence Distribution
49ACTECHO2,Réseau Concurrentiel
38DVIVIENN,Direction des ventes indirectes
62DVICALAI,Direction des ventes indirectes
86MOBIPOI1,Réseau Partenaire
81DVICASTR,Direction des ventes indirectes
ARVOFFROSO,Service Client Home
75AGPEODEO,Indéterminé
78FNACVELI,Réseau Concurrentiel
PADCN275PO,Ag PRO/PME
31CORICUGN,Réseau Concurrentiel
62000BOUT2,Indéterminé
62ARVATON2,Service Client Home
ARVOFFGEST,Service Client Home
97REUNBAND,Réseau Concurrentiel
28PHSELUCE,Réseau Partenaire
31OBSAESOP,Ag PRO/PME
EQPRODMAR1,Service Client Home
77140FJ9-3,Agence Distribution
92REPRMOTO,Service Client Mobile
79ACTETHO1,Réseau Concurrentiel
P_FID57MUT,Ag PRO/PME
25CORIORNA,Réseau Concurrentiel
64DVIPAU,Direction des ventes indirectes
TPTUNISIOD,Service Client Home
310004OQ-5,Agence Distribution
ATL,Indéterminé
37TECHCART,Réseau Concurrentiel
95PHSEENGH,Réseau Partenaire
CCPARQ4,Service Client Mobile
BO_ADCP_PA,Service Client Home
37ACTECSII,Réseau Concurrentiel
59PHSTSYNT,Réseau Partenaire
75DVIJEPA,Direction des ventes indirectes
93CARRSTDE,Réseau Concurrentiel
49MOBIGERS,Réseau Partenaire
BO_HDG,Back Office Autre
47ACTELAVA,Réseau Concurrentiel
01PHSEBELL,Réseau Partenaire
59TECHWOR1,Réseau Concurrentiel
44115FBY-5,Agence Distribution
59ARAE_RAC,Ag PRO/PME
52CORIJOI1,Réseau Concurrentiel
EQTPTUNATH,Ag PRO/PME
78PHSERAM1,Réseau Partenaire
75ACTEORDI,Réseau Concurrentiel
25CORIMON2,Réseau Concurrentiel
27CORIDISC,Réseau Concurrentiel
13PHSEAUBA,Réseau Partenaire
75017FN6-2,Agence Distribution
81PHSECAS0,Réseau Partenaire
AGPRAAEQ44,Service Client Home
MIGMASDOM,Back Office Autre
71500FB3-5,Agence Distribution
62300FA8-6,Agence Distribution
MARDVITERS,Direction des ventes indirectes
CAM1-GSE,Agence Distribution
59PHSEVALE,Réseau Partenaire
STAND-GSE,Agence Distribution
59ARVAE_BO,Ag PRO/PME
92603FX4-0,Agence Distribution
51ACTEREI1,Réseau Concurrentiel
42FIBREN1,Service Client Home
44230FC1-5,Agence Distribution
03CORISTPO,Réseau Concurrentiel
PRODBOUR4,Service Client Home
EBG,Ag PRO/PME
CCNDFN2OPE,Service Client Home
56CORISENE,Réseau Concurrentiel
EQPRODALB1,Service Client Home
02321FL3-0,Agence Distribution
71PHSECHA1,Réseau Partenaire
54300FW2-2,Agence Distribution
VAD700ACQ,Service Client Mobile
75015FQ8-2,Agence Distribution
59MOBICAUD,Réseau Partenaire
22DISPSTNI,Réseau Concurrentiel
41BURALIST,Service Client Mobile
45DVIRUBYO,Direction des ventes indirectes
59280FH9-1,Agence Distribution
STAND-IDF,Agence Distribution
43TECHSTDI,Réseau Concurrentiel
AGPRAAEQ17,Service Client Home
24017FK4-4,Agence Distribution
P_SI3901MA,Service Client Home
ESPDVIRUBY,Direction des ventes indirectes
83000FC5-8,Agence Distribution
ACTICASA,Service Client Home
EAE,Ag PRO/PME
EQPRODPRP2,Service Client Home
CEQTPTUSOH,Service Client Home
65ACTICAMD,Service Client Home
EQPRODNAR3,Service Client Home
16400DWO-5,Agence Distribution
15100FV9-4,Agence Distribution
63500FF7-9,Agence Distribution
10ACTEOTHE,Réseau Concurrentiel
DUNKERQ1,Service Client Home
622198GC-5,Agence Distribution
